,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27
Desulfovibrio_vulgaris_str_Hildenborough_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.98017061,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.354961218,8.85E-16,2.22E-16,2.22E-16,2.22E-16,0.311095654,3.07E-12,0.616144109,0.190097068,1.101074736,1.742218285,1.199914938,2.22E-16,2.22E-16,1.213512157,2.22E-16,0.240539308,2.22E-16
Desulfovibrio_vulgaris_str_'Miyazaki_F'_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.757783605,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.395716243,0.520869095,0.649619208,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.830517974,2.22E-16,0.665977989,2.22E-16
Flavobacterium_hydatis_,2.22E-16,2.22E-16,0.524771146,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,9.933505755,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Erythrobacter_longus_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.580924402,0.919289538,0.956421585,2.22E-16,2.22E-16,2.22E-16,0.716300136,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Synechococcus_elongatus_PCC_7942_,2.22E-16,2.22E-16,2.22E-16,12.77376683,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.738960026,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Synechocystis_sp_PCC_6714_,2.22E-16,2.22E-16,0.053839532,11.15690273,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.549438951,3.646147407,0.530186149,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.83E-05,2.22E-16,0.298299381,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.341701354
Leuconostoc_lactis_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.95740605,2.22E-16,0.527635518,2.22E-16,2.22E-16
Dermacoccus_nishinomiyaensis_,5.32888765,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.101048717,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.125185763,2.22E-16,2.22E-16
Staphylococcus_aureus_,2.22E-16,4.926804455,0.653285732,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.766701872,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.95E-05,2.22E-16,2.22E-16,2.94E-10,4.016753078,2.22E-16,2.22E-16,2.22E-16,7.251724052
Staphylococcus_xylosus_,2.22E-16,6.745488378,0.527918591,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.315848209,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.890808629,2.22E-16,6.10E-10,2.22E-16,0.225722561
Streptococcus_pyogenes_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,13.0209076,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.002885945,2.22E-16,2.22E-16,2.22E-16,0.817657665,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Streptococcus_iniae_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.240986117,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.038729146,2.22E-16,9.031350135,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bacillus_cereus_,2.22E-16,8.168214497,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.026504629,2.22E-16,2.22E-16,2.22E-16,0.09234712,2.22E-16,13.60415026,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.951272136,2.22E-16,2.22E-16,1.286298449,0.113611235,2.22E-16,2.22E-16,10.42921329
Bacillus_mycoides_,2.22E-16,7.532694579,2.22E-16,0.207702165,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.050959294,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.83695573,2.22E-16,2.22E-16,1.745745645,0.162306689,2.22E-16,2.22E-16,9.790171909
Clostridium_sp_ATCC_29733_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.114602827,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.027109086,3.774675766,2.22E-16,2.22E-16,2.22E-16
[Clostridium]_sticklandii_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.618668563,2.22E-16,0.588561293,2.22E-16,2.22E-16,2.22E-16,0.380919735,2.22E-16,2.22E-16,1.073495902,0.787294192,0.51079752,2.22E-16,2.22E-16,5.016826423,2.22E-16,2.22E-16,7.809688842
Lactobacillus_animalis_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,8.876924979,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_coryneforme_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.312918156,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.664842826,2.22E-16,2.22E-16
Bifidobacterium_cuniculi_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.424810288,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.757064518,2.22E-16,2.22E-16
Bifidobacterium_pseudolongum_subsp_globosum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.423238228,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.735404308,2.22E-16,2.22E-16
Bifidobacterium_magnum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.475208305,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.431959431,2.57E-16,6.150681157,2.22E-16,2.22E-16
Bifidobacterium_minimum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.486037876,0.09905152,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.464035238,2.22E-16,2.22E-16
Corynebacterium_pseudotuberculosis_,0.392920347,2.22E-16,0.629112682,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,12.70861265,0.94142419,2.22E-16,1.342239214,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.746402941,6.87E-13,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.800414355,2.22E-16,2.22E-16
Rhodococcus_fascians_,0.22921542,2.22E-16,0.084431422,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.965180884,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.81557611,2.22E-16,0.985398733,2.22E-16,0.185450971,2.22E-16,0.248624727,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.62380245,2.22E-16,2.22E-16
Actinoplanes_utahensis_,9.976618841,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.000167539,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.263458978,2.22E-16,2.22E-16,0.372078193,0.000658793,2.22E-16,2.22E-16
Streptomyces_aureofaciens_,0.479697124,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.415984507,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.377415643,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Streptomyces_fradiae_,10.92253729,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.000134292,2.22E-16,2.22E-16
Streptomyces_virginiae_,10.34006639,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.90E-12,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.093941249,2.22E-16,2.22E-16
Pimelobacter_simplex_,7.107316002,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.453937348,2.22E-16,2.22E-16,2.22E-16,2.627275251,2.22E-16,2.22E-16
Gordonia_terrae_,3.996031423,2.22E-16,0.599021003,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,13.53064227,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.297328038,2.22E-16,2.22E-16
Pseudonocardia_autotrophica_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.132386185,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.267635827,2.22E-16,0.568379021,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.117448135,2.22E-16,2.22E-16
Mycoplasma_agalactiae_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,10.38012569,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Mycoplasma_californicum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,10.68037726,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Thermoanaerobacter_kivui_,2.22E-16,0.866355485,0.112162328,2.22E-16,0.969782732,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.260391617,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.656890917,2.22E-16,2.22E-16,2.22E-16,1.54607699,0.571413014,2.22E-16,2.22E-16,3.936542347,2.22E-16,2.22E-16,10.31917736
Fervidobacterium_islandicum_,2.22E-16,0.952875924,2.22E-16,2.22E-16,1.077713191,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.548381959,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.12036909,2.22E-16,2.22E-16,2.047801296,2.22E-16,2.22E-16,2.22E-16
Synergistes_jonesii_,2.22E-16,0.224266163,2.22E-16,2.22E-16,1.830513414,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.928701457,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.152501844,2.48E-09,2.22E-16,2.366049856,2.90E-07,2.22E-16,2.22E-16
Dactylococcopsis_salina_PCC_8305_,2.22E-16,2.22E-16,2.22E-16,11.80774611,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Sphingomonas_paucimobilis_,2.22E-16,2.22E-16,2.22E-16,0.102771055,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.302212596,0.122435218,0.060513021,2.22E-16,2.22E-16,2.22E-16,3.974366143,0.659362522,5.44172946,1.114971906,2.22E-16,2.22E-16,0.63296408,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Sphingobium_yanoikuyae_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.668773215,0.632353771,2.22E-16,2.22E-16,0.445353298,5.055853922,0.691591991,3.885244388,0.037645444,2.22E-16,2.64E-09,0.62568694,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Saccharopolyspora_rectivirgula_,8.977339919,2.22E-16,2.79E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.691448165,2.22E-16,2.22E-16
Nostoc_sp_PCC_7524_,2.22E-16,2.22E-16,2.22E-16,12.05964469,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Porphyromonas_macacae_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,8.23E-05,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.415113427,2.22E-16,2.22E-16,2.22E-16,8.90294964,2.22E-16
Cobetia_marina_,2.22E-16,2.22E-16,0.151060047,2.22E-16,2.22E-16,2.22E-16,4.558399212,1.612530702,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.136902938,0.756109715,8.51E-13,2.22E-16,0.466021116,2.22E-16,1.789024893,0.340041775,2.22E-16,2.22E-16,0.004769626,2.22E-16,2.22E-16
Vibrio_navarrensis_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.350261179,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.035901555,2.22E-16,2.22E-16,0.517367363,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.769638626,1.18E-07,2.22E-16,2.22E-16,2.22E-16,2.71E-09,2.22E-16
Janthinobacterium_lividum_,2.22E-16,0.901115661,1.102066507,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.276106742,2.22E-16,2.22E-16,13.22515155,2.22E-16,4.80E-05,2.502160735,0.148549336,2.22E-16,2.375317104,1.140490726,2.22E-16,2.22E-16,6.45E-16,0.49703187,0.084805337,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_pseudolongum_subsp_pseudolongum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.041041817,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.137060191,2.22E-16,2.22E-16
Clavibacter_michiganensis_subsp_sepedonicus_,2.556616788,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.107701728,0.577077401,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1.254290088,2.93E-15,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.665518684,2.22E-16,2.22E-16
Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_,2.22E-16,2.22E-16,3.57704754,2.22E-16,2.22E-16,2.22E-16,6.473430394,2.66830379,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.09E-15,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.631979875,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
