"","input.Species","input.Proteins","interactions","input.ID"
"173","Streptomyces_iakyrus_",8311,150177,68219
"174","Streptomyces_katrae_",7597,118007,68223
"175","Streptomyces_pyridomyceticus_",5471,82224,68260
"176","Streptomyces_albulus_",8086,93962,68570
"177","Synechococcus_sp._WH_5701_",3345,54502,69042
"178","Aquamicrobium_defluvii_",4456,83591,69279
"179","Pseudomonas_sp._VLB120_",5479,70512,69328
"180","Caulobacter_henricii_",4452,52470,69395
"181","Haemophilus_influenzae_Rd_KW20_",1709,26804,71421
"182","Streptomyces_seoulensis_",5712,95448,73044
"183","Prochlorococcus_marinus_str._MIT_9302_",1996,26484,74545
"184","Prochlorococcus_marinus_str._MIT_9312_",1962,21657,74546
"185","Prochlorococcus_marinus_str._MIT_9313_",2850,36899,74547
"186","Thiomonas_intermedia_K12_",3149,45224,75379
"187","Aromatoleum_aromaticum_EbN1_",4321,54096,76114
"188","Mycetocola_saprophilus_",2985,36049,76636
"189","Pseudomonas_putida_GB-1_",5409,72992,76869
"190","Bifidobacterium_subtile_",2260,36905,77635
"191","Xanthobacter_autotrophicus_Py2_",5035,70531,78245
"192","Bifidobacterium_gallinarum_",1654,23795,78344
"193","Bifidobacterium_merycicum_",1740,23956,78345
"194","Bifidobacterium_ruminantium_",1832,26617,78346
"195","Pectobacterium_carotovorum_subsp._odoriferum_",4304,53385,78398
"196","Pseudanabaena_sp._PCC_7367_",3854,43514,82654
"197","Serratia_grimesii_",4396,71518,82995
"198","Serratia_plymuthica_",4959,61938,82996
"199","Sulfitobacter_mediterraneus_",3649,68448,83219
"200","Mycobacterium_tuberculosis_H37Rv_",4026,97237,83332
"201","gamma_proteobacterium_HdN1_",3763,46422,83406
"202","Lysobacter_antibioticus_",4316,44355,84531
"203","Synechococcus_sp._WH_8102_",2519,29347,84588
"204","Thauera_sp._MZ1T_",3978,61854,85643
"205","Helicobacter_pylori_26695_",1594,27825,85962
"206","Helicobacter_pylori_J99_",1491,21405,85963
"207","endosymbiont_of_Acanthamoeba_sp._UWC8_",1519,18298,86106
"208","Clostridium_pasteurianum_BC1_",4469,49806,86416
"209","Pseudoalteromonas_tunicata_D2_",4504,60966,87626
"210","Roseovarius_nubinhibens_ISM_",3546,63359,89187
"211","Salmonella_enterica_subsp._enterica_serovar_Typhimurium_",4443,72514,90371
"212","Thiomicrospira_sp._Milos-T1_",2189,37647,90813
"213","Thiomicrospira_sp._Milos-T2_",2337,38645,90814
"214","Synechococcus_sp._PCC_7335_",5586,92977,91464
"215","Candidatus_Paracaedibacter_acanthamoebae_",1826,18740,91604
"216","Prochlorococcus_marinus_str._MIT_9201_",1962,26674,93057
"217","Prochlorococcus_marinus_str._MIT_9211_",1855,21606,93059
"218","Prochlorococcus_marinus_str._MIT_9215_",1983,21735,93060
"219","Pandoraea_pnomenusa_",4219,54235,93220
"220","Shewanella_sp._ANA-3_",4360,59596,94122
"221","Bordetella_petrii_",5031,74893,94624
"222","Pseudomonas_sp._M1_",6023,138546,95619
"223","Desulfococcus_oleovorans_Hxd3_",3265,40431,96561
"224","Lactobacillus_sp._ASF360_",1930,29841,97137
"225","Clostridium_sp._ASF356_",2799,41928,97138
"226","Clostridium_sp._ASF502_",6062,82823,97139
"227","Fischerella_thermalis_PCC_7521_",4586,86321,98439
"228","Calothrix_sp._PCC_7507_",5950,65086,99598
"229","Streptomyces_coelicolor_A3",7767,111229,100226
"230","Wolbachia_endosymbiont_of_Onchocerca_ochengi_",647,11920,100901
"231","Rhodococcus_jostii_RHA1_",7545,162642,101510
"232","Xenococcus_sp._PCC_7305_",5372,84568,102125
"233","Leptolyngbya_sp._PCC_7375_",7827,147933,102129
"234","Gloeocapsa_sp._PCC_73106_",4087,61739,102232
"235","Nostoc_sp._PCC_7120_",5372,0,103690
"236","Saccharothrix_syringae_",9174,205239,103733
"237","Serratia_sp._ATCC_39006_",4413,61372,104623
"238","Streptacidiphilus_neutrinimicus_",7655,143696,105420
"239","Streptacidiphilus_carbonis_",7459,138450,105422
"240","Streptacidiphilus_albus_",8262,151971,105425
"241","Nitrosococcus_watsonii_C-113_",2867,39292,105559
"242","Frankia_sp._CcI3_",4499,53962,106370
"243","Acinetobacter_bereziniae_",4560,76358,106648
"244","Methylosinus_sp._LW3_",4359,75850,107635
"245","Methylosinus_sp._PW1_",4535,65167,107636
"246","Buchnera_aphidicola_str._APS_",567,0,107806
"247","Nocardioides_sp._CF8_",3893,62331,110319
"248","Synechococcus_sp._CC9605_",2638,28659,110662
"249","Synechococcus_sp._CC9616_",2513,35356,110663
"250","Porphyromonas_gulae_",1953,33330,111105
"251","Stanieria_cyanosphaera_PCC_7437_",4331,60250,111780
"252","Leptolyngbya_sp._PCC_7376_",4228,48515,111781
"253","Geminocystis_herdmanii_PCC_6308_",4150,71883,113355
"254","Bradyrhizobium_sp._Tv2a-2_",7231,144995,113395
"255","Bradyrhizobium_sp._ORS_278_",6717,136014,114615
"256","Chlamydophila_pneumoniae_AR39_",1110,11928,115711
"257","Chlamydophila_pneumoniae_CWL029_",1052,13909,115713
"258","Chrysiogenes_arsenatis_DSM_11915_",2473,56168,118005
"259","Pleurocapsa_sp._PCC_7319_",6670,121704,118161
"260","Pleurocapsa_sp._PCC_7327_",4268,53661,118163
"261","Nodosilinea_nodulosa_PCC_7104_",5533,115439,118166
"262","Coleofasciculus_chthonoplastes_PCC_7420_",8294,153241,118168
"263","Pseudanabaena_sp._PCC_6802_",5169,87613,118173
"264","Persephonella_marina_EX-H1_",2051,28530,123214
"265","Bordetella_trematum_",3738,47863,123899
"266","Actinoplanes_sp._SE50-110_",8256,113858,134676
"267","Kocuria_polaris_",3021,42035,136273
"268","Methylosinus_sp._LW4_",4159,65795,136993
"269","Desulfitobacterium_hafniense_Y51_",5060,72382,138119
"270","Lachnobacterium_bovis_",2748,50371,140626
"271","Zobellia_uliginosa_",4340,70588,143224
"272","Prochlorococcus_marinus_str._AS9601_",1921,28490,146891
"273","Streptomyces_griseofuscus_",7996,150012,146922
"274","Lactobacillus_kunkeei_",1356,17451,148814
"275","Kozakia_baliensis_",2947,31716,153496
"276","Sporocytophaga_myxococcoides_",5042,80301,153721
"277","Nitrosomonas_sp._AL212_",2918,28318,153948
"278","Gallibacterium_genomosp._1_",2072,32156,155515
"279","Escherichia_coli_O157:H7_str._EDL933_",5772,75020,155864
"280","Alteromonadales_bacterium_TW-7_",3783,66104,156578
"281","Magnetococcus_marinus_MC-1_",3716,58099,156889
"282","Corynebacterium_imitans_",2013,20569,156978
"283","Pseudomonas_cremoricolorata_",4031,51312,157783
"284","Sphaerochaeta_globosa_str._Buddy_",3017,35084,158189
"285","Sphaerochaeta_pleomorpha_str._Grapes_",3159,34647,158190
"286","Novosphingobium_resinovorum_",5737,81488,158500
"287","Bifidobacterium_scardovii_",2480,26150,158787
"288","Cedecea_neteri_",4155,101707,158822
"289","Dechloromonas_aromatica_RCB_",4171,76493,159087
"290","Burkholderia_sacchari_",5731,118180,159450
"291","Pseudomonas_putida_KT2440_",5350,93401,160488
"292","Xylella_fastidiosa_9a5c_",2830,34001,160492
"293","Paenibacillus_borealis_",6213,106972,160799
"294","Thermodesulfobacterium_hydrogeniphilum_",1681,29827,161156
"295","Erythrobacter_sp._SD-21_",2940,48564,161528
"296","Wolbachia_endosymbiont_of_Drosophila_melanogaster_",1195,18563,163164
"297","Anabaena_sp._PCC_7108_",5120,83906,163908
"298","Mycobacterium_sp._JLS_",5739,84283,164757
"299","Synechococcus_sp._WH_8109_",2641,26154,166314
"300","Synechococcus_sp._WH_8016_",2992,39062,166318
"301","Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_",1882,21151,167539
"302","Prochlorococcus_marinus_str._MIT_9515_",1906,20784,167542
"303","Prochlorococcus_marinus_str._MIT_9301_",1907,20913,167546
"304","Prochlorococcus_marinus_str._MIT_9314_",1973,26427,167548
"305","Prochlorococcus_marinus_str._MIT_9322_",1939,26295,167550
"306","Prochlorococcus_marinus_str._NATL1A_",2193,20865,167555
"307","Listeria_monocytogenes_EGD-e_",2867,48891,169963
"308","Streptococcus_pneumoniae_TIGR4_",2125,29842,170187
"309","Streptococcus_pneumoniae_R6_",2043,29548,171101
"310","Oceanobacillus_picturae_",3666,56503,171693
"311","Elizabethkingia_miricola_",4052,47576,172045
"312","Bradyrhizobium_sp._th.b2_",8523,164571,172088
"313","Streptococcus_sinensis_",1992,28735,176090
"314","Staphylococcus_epidermidis_RP62A_",2491,31659,176279
"315","Staphylococcus_epidermidis_ATCC_12228_",2430,28607,176280
"316","Agrobacterium_fabrum_str._C58_",5158,74726,176299
"317","Francisella_tularensis_subsp._tularensis_SCHU_S4_",1604,22135,177416
"318","Desulfobacterium_autotrophicum_HRM2_",4947,73293,177437
"319","Desulfotalea_psychrophila_LSv54_",3236,39863,177439
"320","Acetobacter_malorum_",3101,41374,178901
"321","Oscillatoria_nigro-viridis_PCC_7112_",5835,84838,179408
"322","Cyanobium_sp._PCC_7001_",2771,54830,180281
"323","Robinsoniella_peoriensis_",5905,121305,180332
"324","Chlamydophila_pneumoniae_TW-183_",1113,11675,182082
"325","Helicobacter_cetorum_MIT_00-7128_",1717,21960,182217
"326","Candidatus_Baumannia_cicadellinicola_",689,53054,186490
"327","Alkalilimnicola_ehrlichii_MLHE-1_",2865,40769,187272
"328","Methylocystis_sp._SC2_",3666,40654,187303
"329","Dermacoccus_sp._Ellin185_",2919,41839,188626
"330","Paenibacillus_graminis_",5584,88170,189425
"331","Paenibacillus_odorifer_",5431,86230,189426
"332","Bradyrhizobium_sp._Ec3.3_",8503,201790,189753
"333","Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_",2067,22983,190304
"334","Xanthomonas_axonopodis_pv._citri_str._306_",4355,59510,190486
"335","Caulobacter_crescentus_CB15_",3737,50941,190650
"336","Corynebacterium_atypicum_",1578,18109,191610
"337","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_",1623,39308,192222
"338","Chlorobium_tepidum_TLS_",2255,25957,194439
"339","Sphingomonas_sp._ATCC_31555_",3696,63373,194867
"340","Clostridium_perfringens_ATCC_13124_",2876,35657,195103
"341","Haematobacter_massiliensis_",3806,66176,195105
"342","Synechococcus_sp._PCC_7336_",4062,56570,195250
"343","Synechococcus_sp._PCC_6312_",3545,38761,195253
"344","Nocardioides_sp._JS614_",4909,62140,196162
"345","Corynebacterium_efficiens_YS-314_",2983,0,196164
"346","Burkholderia_sordidicola_",8831,191686,196367
"347","Bradyrhizobium_sp._Ai1a-2_",7779,159833,196490
"348","Corynebacterium_glutamicum_ATCC_13032_",3057,32963,196627
"349","Thermosynechococcus_elongatus_BP-1_",2475,0,197221
"350","Bacillus_anthracis_str._Ames_",5330,59144,198094
"351","Shigella_flexneri_2a_str._301_",4442,63328,198214
"352","Anoxybacillus_gonensis_",2774,48453,198467
"353","Dickeya_dadantii_3937_",4549,63952,198628
"354","Buchnera_aphidicola_str._Sg_",545,11242,198804
"355","Escherichia_coli_CFT073_",5375,73330,199310
"356","Listeria_ivanovii_subsp._londoniensis_",2825,39261,202752
"357","Acinetobacter_gerneri_",4097,49022,202952
"358","Acinetobacter_tandoii_",3814,49438,202954
"359","Acinetobacter_tjernbergiae_",3398,42112,202955
"360","Acinetobacter_towneri_",2619,35215,202956
"361","Ruminiclostridium_thermocellum_ATCC_27405_",3173,50450,203119
"362","Leuconostoc_mesenteroides_subsp._mesenteroides_ATCC_8293_",2004,23889,203120
"363","Saccharophagus_degradans_2-40_",4007,51623,203122
"364","Oenococcus_oeni_PSU-1_",1691,18906,203123
"365","Trichodesmium_erythraeum_IMS101_",4451,59667,203124
"366","Tropheryma_whipplei_str._Twist_",808,12642,203267
"367","Tannerella_forsythia_ATCC_43037_",3001,31253,203275
"368","Candidatus_Blochmannia_floridanus_",583,12522,203907
"369","Sulfurihydrogenibium_azorense_Az-Fu1_",1725,26096,204536
"370","Candidatus_Koribacter_versatilis_Ellin345_",4777,60138,204669
"371","Herminiimonas_arsenicoxydans_",3283,44204,204773
"372","Haemophilus_somnus_129PT_",1798,22698,205914
"373","Pseudomonas_syringae_pv._syringae_B728a_",5089,69638,205918
"374","Ehrlichia_chaffeensis_str._Arkansas_",1105,16344,205920
"375","Pseudomonas_fluorescens_Pf0-1_",5722,105019,205922
"376","Desulfovibrio_alaskensis_G20_",3258,49895,207559
"377","Neptuniibacter_caesariensis_",3687,75983,207954
"378","Amycolatopsis_japonica_",8422,91131,208439
"379","Amycolatopsis_vancoresmycina_",8806,165644,208444
"380","Carnobacterium_sp._17-4_",2474,35646,208596
"381","Streptococcus_mutans_UA159_",1962,24439,210007
"382","Streptococcus_agalactiae_NEM316_",2094,39504,211110
"383","Allokutzneria_albata_",7887,108957,211114
"384","Chlorogloeopsis_fritschii_PCC_6912_",6857,136825,211165
"385","Shewanella_oneidensis_MR-1_",4065,70578,211586
"386","Anaplasma_phagocytophilum_str._HZ_",1352,17501,212042
"387","Yersinia_pestis_CO92_",3973,70673,214092
"388","Enhygromyxa_salina_",8927,252028,215803
"389","Pseudomonas_rhizosphaerae_",3893,47899,216142
"390","Croceibacter_atlanticus_HTCC2559_",2702,33770,216432
"391","Burkholderia_cenocepacia_J2315_",7121,118965,216591
"392","Mycobacterium_marinum_M_",5452,85283,216594
"393","Pseudomonas_fluorescens_SBW25_",5921,120685,216595
"394","Rhizobium_leguminosarum_bv._viciae_3841_",5613,86387,216596
"395","Bifidobacterium_longum_",1901,23595,216816
"396","Bifidobacterium_psychraerophilum_",2122,32364,218140
"397","Bacillus_vietnamensis_",4453,62305,218284
"398","Pectobacterium_atrosepticum_SCRI1043_",4472,68162,218491
"399","Salmonella_bongori_NCTC_12419_",3864,53604,218493
"400","Streptococcus_uberis_0140J_",1762,26450,218495
"401","Chlamydophila_abortus_S26-3_",932,11184,218497
"402","Micromonospora_sp._ATCC_39149_",5633,93565,219305
"403","Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_",4523,0,220341
"404","Pseudomonas_protegens_Pf-5_",6108,80596,220664
"405","Lactobacillus_plantarum_WCFS1_",3107,36185,220668
"406","Treponema_putidum_",2225,24460,221027
"407","Oceanobacillus_iheyensis_HTE831_",3496,0,221109
"408","Mastigocladopsis_repens_PCC_10914_",5749,94351,221288
"409","Synechococcus_sp._RS9916_",2961,39832,221359
"410","Synechococcus_sp._RS9917_",2770,39208,221360
"411","Mannheimia_succiniciproducens_MBEL55E_",2384,29595,221988
"412","Frankia_sp._BMG5.12_",6080,91576,222534
"413","Neorickettsia_sennetsu_str._Miyayama_",932,12588,222891
"414","Kocuria_marina_",2336,39267,223184
"415","Pseudomonas_syringae_pv._tomato_str._DC3000_",5550,87120,223283
"416","Vibrio_parahaemolyticus_RIMD_2210633_",4831,0,223926
"417","Bacillus_subtilis_subsp._subtilis_str._168_",4185,82463,224308
"418","Aquifex_aeolicus_VF5_",1553,22963,224324
"419","Bradyrhizobium_diazoefficiens_USDA_110_",8317,0,224911
"420","Brucella_melitensis_bv._1_str._16M_",3198,47352,224914
"421","Buchnera_aphidicola_str._Bp_",507,10227,224915
"422","Shewanella_piezotolerans_WP3_",4933,69828,225849
"423","Marinobacter_adhaerens_HP15_",4180,57156,225937
"424","Enterococcus_faecalis_V583_",3113,45706,226185
"425","Bacteroides_thetaiotaomicron_VPI-5482_",4825,72956,226186
"426","Coxiella_burnetii_RSA_493_",1852,23318,227377
"427","Streptomyces_avermitilis_MA-4680_=_NBRC_14893_",7676,94779,227882
"428","Chlamydophila_caviae_GPIC_",1005,11927,227941
"429","Actinobacillus_pleuropneumoniae_serovar_1_str._4074_",2170,35562,228399
"430","Hyphomonas_neptunium_ATCC_15444_",3505,45896,228405
"431","Nitrosomonas_europaea_ATCC_19718_",2462,31078,228410
"432","Beijerinckia_mobilis_",3451,51132,231434
"433","Halomonas_alkaliantarctica_",3386,60723,232346
"434","Synechococcus_sp._CB0101_",2771,41163,232348
"435","Acidovorax_sp._JS42_",4071,59245,232721
"436","Haemophilus_ducreyi_35000HP_",1717,21139,233412
"437","Candidatus_Solibacter_usitatus_Ellin6076_",7826,130067,234267
"438","Rhodococcus_erythropolis_PR4_",6136,97415,234621
"439","Anaplasma_marginale_str._St._Maries_",949,13224,234826
"440","Pseudoalteromonas_sp._SM9913_",3712,57067,234831
"441","Helicobacter_hepaticus_ATCC_51449_",1875,23481,235279
"442","Geobacillus_kaustophilus_HTA426_",3540,56136,235909
"443","Streptacidiphilus_jiangxiensis_",8597,161423,235985
"444","Alcanivorax_sp._DG881_",3337,49684,236097
"445","Chryseobacterium_formosense_",3695,43814,236814
"446","Candidatus_Scalindua_brodae_",4016,63180,237368
"447","Pseudomonas_alkylphenolia_",5177,67826,237609
"448","Erythrobacter_sp._NAP1_",3177,44080,237727
"449","Acidobacterium_capsulatum_ATCC_51196_",3382,43534,240015
"450","Verrucomicrobium_spinosum_DSM_4136_=_JCM_18804_",6008,104951,240016
"451","Anabaena_variabilis_ATCC_29413_",5331,76278,240292
"452","Halobacillus_dabanensis_",4046,66120,240302
"453","Porphyromonas_gingivalis_W83_",1909,26404,242619
"454","Rhodopirellula_baltica_SH_1_",7325,94154,243090
"455","Acidithiobacillus_ferrooxidans_ATCC_23270_",3147,37169,243159
"456","Burkholderia_mallei_ATCC_23344_",5024,62799,243160
"457","Chlamydia_muridarum_str._Nigg_",911,11806,243161
"458","Dehalococcoides_mccartyi_195_",1580,19352,243164
"459","Deinococcus_radiodurans_R1_",2936,38665,243230
"460","Geobacter_sulfurreducens_PCA_",3432,60394,243231
"461","Methylococcus_capsulatus_str._Bath_",2960,37071,243233
"462","Photorhabdus_luminescens_subsp._laumondii_TTO1_",4683,65744,243265
"463","Mycoplasma_arthritidis_158L3-1_",631,10029,243272
"464","Mycoplasma_genitalium_G37_",476,12732,243273
"465","Thermotoga_maritima_MSB8_",1871,32607,243274
"466","Treponema_denticola_ATCC_35405_",2767,38023,243275
"467","Treponema_pallidum_subsp._pallidum_str._Nichols_",978,21673,243276
"468","Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_",3828,73449,243277
"469","Chromobacterium_violaceum_ATCC_12472_",4407,72864,243365
