,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Bartonella_rochalimae_ATCC_BAA-1498_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2880.779406,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1914.454493,2.22E-16,492.1446859,2.22E-16,2.22E-16,2.22E-16,2.22E-16,349.6458707,2.22E-16
Bartonella_schoenbuchensis_m07a_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6302.972332,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4453.91043,2.22E-16,473.0859627,2.22E-16,2.22E-16,2.22E-16,2.22E-16,623.2531115,2.22E-16
Bartonella_sp_DB5-6_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3411.460457,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,217.2360306,2.22E-16,2.22E-16,2.22E-16,2.22E-16,992.1882248,2.22E-16
Bartonella_tamiae_Th239_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3023.134925,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3555.106321,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,267.9638905,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1135.713286,2.22E-16
Bartonella_taylorii_8TBB_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,154.1560351,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,574.7584353,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1607.587955,2.22E-16
Bartonella_tribocorum_CIP_105476_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1810.231087,2.22E-16,2.22E-16,2.22E-16,615.8314194,2611.260144,148.0904733,2.22E-16,2.22E-16,2.22E-16,2.22E-16,224.4876115,2.22E-16,79.21567568,2.22E-16,2.22E-16,2.22E-16,2.22E-16,8.66E-08,2.22E-16
Bartonella_vinsonii_subsp_berkhoffii_str_Winnie_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4130.70707,2.22E-16,2.22E-16,2.22E-16,2.22E-16,65.95802004,2.22E-16,689.480831,2.22E-16,2.22E-16,2.22E-16,2.22E-16,35.43802891,2.22E-16
Bartonella_washoensis_Sb944nv_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,378.2845128,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2039.683478,2.22E-16
Basilea_psittacipulmonis_DSM_24701_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1321.582707,2.22E-16,2.22E-16,2.22E-16,2.22E-16,160.857546,2.22E-16,552.4712125,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1106.472992,2.22E-16
Bdellovibrio_bacteriovorus_HD100_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4646.253862,2.22E-16,2.22E-16,2.22E-16,2.22E-16,69.17845734,4263.902615,2.22E-16,2884.132167,460.4972592,2.22E-16,2.22E-16,2.22E-16,690.8826725,3311.713393,2.22E-16,2.22E-16,2.22E-16,278.0715498,39.43213223,1709.422453,2.22E-16,2.22E-16,2.22E-16,2.22E-16
