Species,Proteins,ID
Streptomyces_niger_,7311,66373
Streptomyces_violens_,6841,66377
Streptomyces_roseoverticillatus_,6067,66429
Bacillus_clausii_KSM-K16_,4087,66692
Streptomyces_atroolivaceus_,7079,66869
Streptomyces_bicolor_,8388,66874
Streptomyces_catenulae_,5932,66875
Streptomyces_griseorubens_,6603,66897
Streptomyces_albus_subsp._albus_,6329,67257
Streptomyces_alboflavus_,8121,67267
Streptomyces_aureocirculatus_,7950,67275
Streptomyces_californicus_,6649,67281
Streptomyces_lavenduligriseus_,7702,67315
Streptomyces_mutabilis_,6346,67332
Streptomyces_purpeofuscus_,7831,67352
Streptomyces_resistomycificus_,9296,67356
Streptomyces_varsoviensis_,7091,67373
Lechevalieria_aerocolonigenes_,11511,68170
Streptomyces_durhamensis_,8352,68194
Streptomyces_flavochromogenes_,7861,68199
Streptomyces_iakyrus_,8311,68219
Streptomyces_katrae_,7597,68223
Streptomyces_pyridomyceticus_,5471,68260
Streptomyces_albulus_,8086,68570
Synechococcus_sp._WH_5701_,3345,69042
Aquamicrobium_defluvii_,4456,69279
Pseudomonas_sp._VLB120_,5479,69328
Caulobacter_henricii_,4452,69395
Haemophilus_influenzae_Rd_KW20_,1709,71421
Streptomyces_seoulensis_,5712,73044
Prochlorococcus_marinus_str._MIT_9302_,1996,74545
Prochlorococcus_marinus_str._MIT_9312_,1962,74546
Prochlorococcus_marinus_str._MIT_9313_,2850,74547
Thiomonas_intermedia_K12_,3149,75379
Aromatoleum_aromaticum_EbN1_,4321,76114
Mycetocola_saprophilus_,2985,76636
Pseudomonas_putida_GB-1_,5409,76869
Bifidobacterium_subtile_,2260,77635
Xanthobacter_autotrophicus_Py2_,5035,78245
Bifidobacterium_gallinarum_,1654,78344
Bifidobacterium_merycicum_,1740,78345
Bifidobacterium_ruminantium_,1832,78346
Pectobacterium_carotovorum_subsp._odoriferum_,4304,78398
Pseudanabaena_sp._PCC_7367_,3854,82654
Serratia_grimesii_,4396,82995
Serratia_plymuthica_,4959,82996
Sulfitobacter_mediterraneus_,3649,83219
Mycobacterium_tuberculosis_H37Rv_,4026,83332
gamma_proteobacterium_HdN1_,3763,83406
Lysobacter_antibioticus_,4316,84531
Synechococcus_sp._WH_8102_,2519,84588
Thauera_sp._MZ1T_,3978,85643
Helicobacter_pylori_26695_,1594,85962
Helicobacter_pylori_J99_,1491,85963
endosymbiont_of_Acanthamoeba_sp._UWC8_,1519,86106
Clostridium_pasteurianum_BC1_,4469,86416
Pseudoalteromonas_tunicata_D2_,4504,87626
Roseovarius_nubinhibens_ISM_,3546,89187
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_,4443,90371
Thiomicrospira_sp._Milos-T1_,2189,90813
Thiomicrospira_sp._Milos-T2_,2337,90814
Synechococcus_sp._PCC_7335_,5586,91464
Candidatus_Paracaedibacter_acanthamoebae_,1826,91604
Prochlorococcus_marinus_str._MIT_9201_,1962,93057
Prochlorococcus_marinus_str._MIT_9211_,1855,93059
Prochlorococcus_marinus_str._MIT_9215_,1983,93060
Pandoraea_pnomenusa_,4219,93220
Shewanella_sp._ANA-3_,4360,94122
Bordetella_petrii_,5031,94624
Pseudomonas_sp._M1_,6023,95619
Desulfococcus_oleovorans_Hxd3_,3265,96561
Lactobacillus_sp._ASF360_,1930,97137
Clostridium_sp._ASF356_,2799,97138
Clostridium_sp._ASF502_,6062,97139
Fischerella_thermalis_PCC_7521_,4586,98439
Calothrix_sp._PCC_7507_,5950,99598
Streptomyces_coelicolor_A3,7767,100226
Wolbachia_endosymbiont_of_Onchocerca_ochengi_,647,100901
Rhodococcus_jostii_RHA1_,7545,101510
Xenococcus_sp._PCC_7305_,5372,102125
Leptolyngbya_sp._PCC_7375_,7827,102129
Gloeocapsa_sp._PCC_73106_,4087,102232
Nostoc_sp._PCC_7120_,5372,103690
Saccharothrix_syringae_,9174,103733
Serratia_sp._ATCC_39006_,4413,104623
Streptacidiphilus_neutrinimicus_,7655,105420
Streptacidiphilus_carbonis_,7459,105422
Streptacidiphilus_albus_,8262,105425
Nitrosococcus_watsonii_C-113_,2867,105559
Frankia_sp._CcI3_,4499,106370
Acinetobacter_bereziniae_,4560,106648
Methylosinus_sp._LW3_,4359,107635
Methylosinus_sp._PW1_,4535,107636
Buchnera_aphidicola_str._APS_,567,107806
Nocardioides_sp._CF8_,3893,110319
Synechococcus_sp._CC9605_,2638,110662
Synechococcus_sp._CC9616_,2513,110663
Porphyromonas_gulae_,1953,111105
Stanieria_cyanosphaera_PCC_7437_,4331,111780
Leptolyngbya_sp._PCC_7376_,4228,111781
Geminocystis_herdmanii_PCC_6308_,4150,113355
Bradyrhizobium_sp._Tv2a-2_,7231,113395
Bradyrhizobium_sp._ORS_278_,6717,114615
Chlamydophila_pneumoniae_AR39_,1110,115711
Chlamydophila_pneumoniae_CWL029_,1052,115713
Chrysiogenes_arsenatis_DSM_11915_,2473,118005
Pleurocapsa_sp._PCC_7319_,6670,118161
Pleurocapsa_sp._PCC_7327_,4268,118163
Nodosilinea_nodulosa_PCC_7104_,5533,118166
Coleofasciculus_chthonoplastes_PCC_7420_,8294,118168
Pseudanabaena_sp._PCC_6802_,5169,118173
Persephonella_marina_EX-H1_,2051,123214
Bordetella_trematum_,3738,123899
Actinoplanes_sp._SE50/110_,8256,134676
Kocuria_polaris_,3021,136273
Methylosinus_sp._LW4_,4159,136993
Desulfitobacterium_hafniense_Y51_,5060,138119
Lachnobacterium_bovis_,2748,140626
Zobellia_uliginosa_,4340,143224
Prochlorococcus_marinus_str._AS9601_,1921,146891
Streptomyces_griseofuscus_,7996,146922
Lactobacillus_kunkeei_,1356,148814
Kozakia_baliensis_,2947,153496
Sporocytophaga_myxococcoides_,5042,153721
Nitrosomonas_sp._AL212_,2918,153948
Gallibacterium_genomosp._1_,2072,155515
Escherichia_coli_O157:H7_str._EDL933_,5772,155864
Alteromonadales_bacterium_TW-7_,3783,156578
Magnetococcus_marinus_MC-1_,3716,156889
Corynebacterium_imitans_,2013,156978
Pseudomonas_cremoricolorata_,4031,157783
Sphaerochaeta_globosa_str._Buddy_,3017,158189
Sphaerochaeta_pleomorpha_str._Grapes_,3159,158190
Novosphingobium_resinovorum_,5737,158500
Bifidobacterium_scardovii_,2480,158787
Cedecea_neteri_,4155,158822
Dechloromonas_aromatica_RCB_,4171,159087
Burkholderia_sacchari_,5731,159450
Pseudomonas_putida_KT2440_,5350,160488
Xylella_fastidiosa_9a5c_,2830,160492
Paenibacillus_borealis_,6213,160799
Thermodesulfobacterium_hydrogeniphilum_,1681,161156
Erythrobacter_sp._SD-21_,2940,161528
Wolbachia_endosymbiont_of_Drosophila_melanogaster_,1195,163164
Anabaena_sp._PCC_7108_,5120,163908
Mycobacterium_sp._JLS_,5739,164757
Synechococcus_sp._WH_8109_,2641,166314
Synechococcus_sp._WH_8016_,2992,166318
Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_,1882,167539
Prochlorococcus_marinus_str._MIT_9515_,1906,167542
Prochlorococcus_marinus_str._MIT_9301_,1907,167546
Prochlorococcus_marinus_str._MIT_9314_,1973,167548
Prochlorococcus_marinus_str._MIT_9322_,1939,167550
Prochlorococcus_marinus_str._NATL1A_,2193,167555
Listeria_monocytogenes_EGD-e_,2867,169963
Streptococcus_pneumoniae_TIGR4_,2125,170187
Streptococcus_pneumoniae_R6_,2043,171101
Oceanobacillus_picturae_,3666,171693
Elizabethkingia_miricola_,4052,172045
Bradyrhizobium_sp._th.b2_,8523,172088
Streptococcus_sinensis_,1992,176090
Staphylococcus_epidermidis_RP62A_,2491,176279
Staphylococcus_epidermidis_ATCC_12228_,2430,176280
Agrobacterium_fabrum_str._C58_,5158,176299
Francisella_tularensis_subsp._tularensis_SCHU_S4_,1604,177416
Desulfobacterium_autotrophicum_HRM2_,4947,177437
Desulfotalea_psychrophila_LSv54_,3236,177439
Acetobacter_malorum_,3101,178901
Oscillatoria_nigro-viridis_PCC_7112_,5835,179408
Cyanobium_sp._PCC_7001_,2771,180281
Robinsoniella_peoriensis_,5905,180332
Chlamydophila_pneumoniae_TW-183_,1113,182082
Helicobacter_cetorum_MIT_00-7128_,1717,182217
Candidatus_Baumannia_cicadellinicola_,689,186490
Alkalilimnicola_ehrlichii_MLHE-1_,2865,187272
Methylocystis_sp._SC2_,3666,187303
Dermacoccus_sp._Ellin185_,2919,188626
Paenibacillus_graminis_,5584,189425
Paenibacillus_odorifer_,5431,189426
Bradyrhizobium_sp._Ec3.3_,8503,189753
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_,2067,190304
Xanthomonas_axonopodis_pv._citri_str._306_,4355,190486
Caulobacter_crescentus_CB15_,3737,190650
Corynebacterium_atypicum_,1578,191610
Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_,1623,192222
Chlorobium_tepidum_TLS_,2255,194439
Sphingomonas_sp._ATCC_31555_,3696,194867
Clostridium_perfringens_ATCC_13124_,2876,195103
Haematobacter_massiliensis_,3806,195105
Synechococcus_sp._PCC_7336_,4062,195250
Synechococcus_sp._PCC_6312_,3545,195253
Nocardioides_sp._JS614_,4909,196162
Corynebacterium_efficiens_YS-314_,2983,196164
Burkholderia_sordidicola_,8831,196367
Bradyrhizobium_sp._Ai1a-2_,7779,196490
Corynebacterium_glutamicum_ATCC_13032_,3057,196627
Thermosynechococcus_elongatus_BP-1_,2475,197221
Bacillus_anthracis_str._Ames_,5330,198094
Shigella_flexneri_2a_str._301_,4442,198214
Anoxybacillus_gonensis_,2774,198467
Dickeya_dadantii_3937_,4549,198628
Buchnera_aphidicola_str._Sg_,545,198804
Escherichia_coli_CFT073_,5375,199310
Listeria_ivanovii_subsp._londoniensis_,2825,202752
Acinetobacter_gerneri_,4097,202952
Acinetobacter_tandoii_,3814,202954
Acinetobacter_tjernbergiae_,3398,202955
Acinetobacter_towneri_,2619,202956
Ruminiclostridium_thermocellum_ATCC_27405_,3173,203119
Leuconostoc_mesenteroides_subsp._mesenteroides_ATCC_8293_,2004,203120
Saccharophagus_degradans_2-40_,4007,203122
Oenococcus_oeni_PSU-1_,1691,203123
Trichodesmium_erythraeum_IMS101_,4451,203124
Tropheryma_whipplei_str._Twist_,808,203267
Tannerella_forsythia_ATCC_43037_,3001,203275
Candidatus_Blochmannia_floridanus_,583,203907
Sulfurihydrogenibium_azorense_Az-Fu1_,1725,204536
Candidatus_Koribacter_versatilis_Ellin345_,4777,204669
Herminiimonas_arsenicoxydans_,3283,204773
Haemophilus_somnus_129PT_,1798,205914
Pseudomonas_syringae_pv._syringae_B728a_,5089,205918
Ehrlichia_chaffeensis_str._Arkansas_,1105,205920
Pseudomonas_fluorescens_Pf0-1_,5722,205922
Desulfovibrio_alaskensis_G20_,3258,207559
Neptuniibacter_caesariensis_,3687,207954
Amycolatopsis_japonica_,8422,208439
Amycolatopsis_vancoresmycina_,8806,208444
Carnobacterium_sp._17-4_,2474,208596
Streptococcus_mutans_UA159_,1962,210007
Streptococcus_agalactiae_NEM316_,2094,211110
Allokutzneria_albata_,7887,211114
Chlorogloeopsis_fritschii_PCC_6912_,6857,211165
Shewanella_oneidensis_MR-1_,4065,211586
Anaplasma_phagocytophilum_str._HZ_,1352,212042
Yersinia_pestis_CO92_,3973,214092
Enhygromyxa_salina_,8927,215803
Pseudomonas_rhizosphaerae_,3893,216142
Croceibacter_atlanticus_HTCC2559_,2702,216432
Burkholderia_cenocepacia_J2315_,7121,216591
Mycobacterium_marinum_M_,5452,216594
Pseudomonas_fluorescens_SBW25_,5921,216595
Rhizobium_leguminosarum_bv._viciae_3841_,5613,216596
Bifidobacterium_longum_,1901,216816
Bifidobacterium_psychraerophilum_,2122,218140
Bacillus_vietnamensis_,4453,218284
Pectobacterium_atrosepticum_SCRI1043_,4472,218491
Salmonella_bongori_NCTC_12419_,3864,218493
Streptococcus_uberis_0140J_,1762,218495
Chlamydophila_abortus_S26/3_,932,218497
Micromonospora_sp._ATCC_39149_,5633,219305
Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_,4523,220341
Pseudomonas_protegens_Pf-5_,6108,220664
Lactobacillus_plantarum_WCFS1_,3107,220668
Treponema_putidum_,2225,221027
Oceanobacillus_iheyensis_HTE831_,3496,221109
Mastigocladopsis_repens_PCC_10914_,5749,221288
Synechococcus_sp._RS9916_,2961,221359
Synechococcus_sp._RS9917_,2770,221360
Mannheimia_succiniciproducens_MBEL55E_,2384,221988
Frankia_sp._BMG5.12_,6080,222534
Neorickettsia_sennetsu_str._Miyayama_,932,222891
Kocuria_marina_,2336,223184
Pseudomonas_syringae_pv._tomato_str._DC3000_,5550,223283
Vibrio_parahaemolyticus_RIMD_2210633_,4831,223926
Bacillus_subtilis_subsp._subtilis_str._168_,4185,224308
Aquifex_aeolicus_VF5_,1553,224324
Bradyrhizobium_diazoefficiens_USDA_110_,8317,224911
Brucella_melitensis_bv._1_str._16M_,3198,224914
Buchnera_aphidicola_str._Bp_,507,224915
Shewanella_piezotolerans_WP3_,4933,225849
Marinobacter_adhaerens_HP15_,4180,225937
Enterococcus_faecalis_V583_,3113,226185
Bacteroides_thetaiotaomicron_VPI-5482_,4825,226186
Coxiella_burnetii_RSA_493_,1852,227377
Streptomyces_avermitilis_MA-4680_=_NBRC_14893_,7676,227882
Chlamydophila_caviae_GPIC_,1005,227941
Actinobacillus_pleuropneumoniae_serovar_1_str._4074_,2170,228399
Hyphomonas_neptunium_ATCC_15444_,3505,228405
Nitrosomonas_europaea_ATCC_19718_,2462,228410
Beijerinckia_mobilis_,3451,231434
Halomonas_alkaliantarctica_,3386,232346
Synechococcus_sp._CB0101_,2771,232348
Acidovorax_sp._JS42_,4071,232721
Haemophilus_ducreyi_35000HP_,1717,233412
Candidatus_Solibacter_usitatus_Ellin6076_,7826,234267
Rhodococcus_erythropolis_PR4_,6136,234621
Anaplasma_marginale_str._St._Maries_,949,234826
Pseudoalteromonas_sp._SM9913_,3712,234831
Helicobacter_hepaticus_ATCC_51449_,1875,235279
Geobacillus_kaustophilus_HTA426_,3540,235909
Streptacidiphilus_jiangxiensis_,8597,235985
Alcanivorax_sp._DG881_,3337,236097
Chryseobacterium_formosense_,3695,236814
Candidatus_Scalindua_brodae_,4016,237368
Pseudomonas_alkylphenolia_,5177,237609
Erythrobacter_sp._NAP1_,3177,237727
Acidobacterium_capsulatum_ATCC_51196_,3382,240015
Verrucomicrobium_spinosum_DSM_4136_=_JCM_18804_,6008,240016
Anabaena_variabilis_ATCC_29413_,5331,240292
Halobacillus_dabanensis_,4046,240302
Porphyromonas_gingivalis_W83_,1909,242619
Rhodopirellula_baltica_SH_1_,7325,243090
Acidithiobacillus_ferrooxidans_ATCC_23270_,3147,243159
Burkholderia_mallei_ATCC_23344_,5024,243160
Chlamydia_muridarum_str._Nigg_,911,243161
Dehalococcoides_mccartyi_195_,1580,243164
Deinococcus_radiodurans_R1_,2936,243230
Geobacter_sulfurreducens_PCA_,3432,243231
Methylococcus_capsulatus_str._Bath_,2960,243233
Photorhabdus_luminescens_subsp._laumondii_TTO1_,4683,243265
Mycoplasma_arthritidis_158L3-1_,631,243272
Mycoplasma_genitalium_G37_,476,243273
Thermotoga_maritima_MSB8_,1871,243274
Treponema_denticola_ATCC_35405_,2767,243275
Treponema_pallidum_subsp._pallidum_str._Nichols_,978,243276
Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_,3828,243277
Chromobacterium_violaceum_ATCC_12472_,4407,243365
Pseudomonas_lutea_,4607,243924
Candidatus_Caedibacter_acanthamoebae_,1459,244581
Candidatus_Paracaedibacter_symbiosus_,2495,244582
Carboxydothermus_hydrogenoformans_Z-2901_,2620,246194
Dichelobacter_nodosus_VCS1703A_,1280,246195
Mycobacterium_smegmatis_str._MC2_155_,6692,246196
Myxococcus_xanthus_DK_1622_,7331,246197
Ruminococcus_albus_8_,3833,246199
Ruegeria_pomeroyi_DSS-3_,4279,246200
Streptococcus_mitis_NCTC_12261_,1636,246201
Nocardia_farcinica_IFM_10152_,5853,247156
planctomycete_KSU-1_,3600,247490
marine_gamma_proteobacterium_HTCC2143_,3662,247633
marine_gamma_proteobacterium_HTCC2148_,3827,247634
marine_gamma_proteobacterium_HTCC2080_,3185,247639
Gloeobacter_violaceus_PCC_7421_,4430,251221
Chroococcidiopsis_thermalis_PCC_7203_,5408,251229
Oceanicola_batsensis_HTCC2597_,3372,252305
Streptomyces_sp._C_,7540,253839
Ehrlichia_ruminantium_str._Welgevonden_,888,254945
Dehalococcoides_mccartyi_CBDB1_,1458,255470
Bordetella_bronchiseptica_RB50_,4994,257310
Bordetella_pertussis_Tohama_I_,3426,257313
Lactobacillus_johnsonii_NCC_533_,1821,257314
Rickettsia_typhi_str._Wilmington_,838,257363
Kitasatospora_arboriphila_,5211,258052
Mycobacterium_cosmeticum_,6281,258533
Rhodopseudomonas_palustris_CGA009_,4820,258594
Psychrobacter_arcticus_273-4_,2120,259536
Bacillus_anthracis_str._Sterne_,5287,260799
Nitrosomonas_sp._Is79A3_,3372,261292
Buchnera_aphidicola_,359,261317
Mycobacterium_avium_subsp._paratuberculosis_K-10_,4350,262316
Exiguobacterium_sibiricum_255-15_,3010,262543
Mycoplasma_hyopneumoniae_J_,674,262719
Mycoplasma_synoviae_53_,681,262723
Thermus_thermophilus_HB27_,2210,262724
Onion_yellows_phytoplasma_OY-M_,752,262768
Verrucosispora_maris_AB-18-032_,6009,263358
Ralstonia_eutropha_JMP134_,6358,264198
Streptococcus_thermophilus_LMG_18311_,1889,264199
Candidatus_Protochlamydia_amoebophila_UWE25_,2031,264201
Chlamydophila_felis_Fe/C-56_,1013,264202
Zymomonas_mobilis_subsp._mobilis_ZM4_=_ATCC_31821_,1736,264203
Bdellovibrio_bacteriovorus_HD100_,3583,264462
Pseudomonas_syringae_pv._phaseolicola_1448A_,5112,264730
Prevotella_ruminicola_23_,2763,264731
Moorella_thermoacetica_ATCC_39073_,2463,264732
Methylobacillus_flagellatus_KT_,2753,265072
Mesoplasma_florum_L1_,683,265311
Bacillus_cibi_,3781,265729
Rubrobacter_xylanophilus_DSM_9941_,3140,266117
Cupriavidus_metallidurans_CH34_,6132,266264
Burkholderia_xenovorans_LB400_,8702,266265
Chryseobacterium_antarcticum_,2661,266748
Porphyromonas_gingivicanis_,1433,266762
Chelativorans_sp._BNC1_,4177,266779
Thalassobacter_stenotrophicus_,2997,266809
Sinorhizobium_meliloti_1021_,4943,266834
Mesorhizobium_loti_MAFF303099_,6961,266835
Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA-149_,4497,266940
Ralstonia_solanacearum_GMI1000_,5120,267608
Propionibacterium_acnes_KPA171202_,2297,267747
Mycoplasma_mobile_163K_,635,267748
Paenibacillus_wynnii_,4891,268407
Synechococcus_elongatus_PCC_6301_,2524,269084
Burkholderia_vietnamiensis_G4_,6591,269482
Ehrlichia_canis_str._Jake_,925,269484
Rhodospirillum_rubrum_ATCC_11170_,3791,269796
Cytophaga_hutchinsonii_ATCC_33406_,3785,269798
Geobacter_metallireducens_GS-15_,3568,269799
Thermobifida_fusca_YX_,3110,269800
Marinobacter_sp._ELB17_,4850,270374
Anabaena_cylindrica_PCC_7122_,5320,272123
Leptolyngbya_boryana_PCC_6306_,6683,272134
Aggregatibacter_actinomycetemcomitans_HK1651_,2327,272556
Bacillus_halodurans_C-125_,4053,272558
Bacteroides_fragilis_NCTC_9343_,4236,272559
Burkholderia_pseudomallei_K96243_,5728,272560
Clostridium_acetobutylicum_ATCC_824_,3672,272562
Peptoclostridium_difficile_630_,3825,272563
Gluconacetobacter_diazotrophicus_PA1_5_,3801,272568
Lactobacillus_acidophilus_NCFM_,1862,272621
Lactococcus_lactis_subsp._lactis_Il1403_,2266,272623
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1_,2942,272624
Listeria_innocua_Clip11262_,3043,272626
Methylobacterium_extorquens_AM1_,4996,272630
Mycobacterium_leprae_TN_,1605,272631
Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1_,1016,272632
Mycoplasma_penetrans_HF-2_,1037,272633
Mycoplasma_pulmonis_UAB_CTIP_,782,272635
Rhodobacter_capsulatus_SB_1003_,3493,272942
Rhodobacter_sphaeroides_2.4.1_,3988,272943
Rickettsia_prowazekii_str._Madrid_E_,843,272947
Rickettsia_sibirica_246_,1234,272951
Caldanaerobacter_subterraneus_subsp._tengcongensis_MB4_,2588,273068
Ureaplasma_parvum_serovar_3_str._ATCC_700970_,611,273119
Wolinella_succinogenes_DSM_1740_,2043,273121
Serratia_marcescens_subsp._marcescens_Db11_,4716,273526
Microbacterium_oleivorans_,2781,273677
Pediococcus_pentosaceus_ATCC_25745_,1753,278197
Diplosphaera_colitermitum_TAV2_,4807,278957
Acidobacteriaceae_bacterium_TAA166_,4698,278963
Bacillus_licheniformis_DSM_13_=_ATCC_14580_,4179,279010
Novosphingobium_aromaticivorans_DSM_12444_,3755,279238
Pseudogulbenkiania_ferrooxidans_2002_,3925,279714
Staphylococcus_haemolyticus_JCSC1435_,2674,279808
Leifsonia_xyli_subsp._xyli_str._CTCB07_,2030,281090
